"module name","license","repository"
"@ant-design/colors@7.2.0","MIT","https://github.com/ant-design/ant-design-colors"
"@ant-design/icons@5.6.1","MIT","https://github.com/ant-design/ant-design-icons/tree/master/packages/icons-react"
"@eslint/compat@1.2.7","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/eslintrc@3.3.0","MIT","https://github.com/eslint/eslintrc"
"@eslint/js@9.21.0","MIT","https://github.com/eslint/eslint"
"@types/react-dom@19.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@19.0.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@vitejs/plugin-react-swc@3.8.0","MIT","https://github.com/vitejs/vite-plugin-react-swc"
"antd@5.24.3","MIT","https://github.com/ant-design/ant-design"
"d3@7.9.0","ISC","https://github.com/d3/d3"
"eslint-config-prettier@10.0.2","MIT","https://github.com/prettier/eslint-config-prettier"
"eslint-plugin-import@2.31.0","MIT","https://github.com/import-js/eslint-plugin-import"
"eslint-plugin-jsx-a11y@6.10.2","MIT","https://github.com/jsx-eslint/eslint-plugin-jsx-a11y"
"eslint-plugin-prettier@5.2.3","MIT","https://github.com/prettier/eslint-plugin-prettier"
"eslint-plugin-react-hooks@5.2.0","MIT","https://github.com/facebook/react"
"eslint-plugin-react-refresh@0.4.19","MIT","https://github.com/ArnaudBarre/eslint-plugin-react-refresh"
"eslint-plugin-react@7.37.4","MIT","https://github.com/jsx-eslint/eslint-plugin-react"
"eslint-plugin-unused-imports@4.1.4","MIT","https://github.com/sweepline/eslint-plugin-unused-imports"
"eslint@9.21.0","MIT","https://github.com/eslint/eslint"
"globals@16.0.0","MIT","https://github.com/sindresorhus/globals"
"jsdom@26.0.0","MIT","https://github.com/jsdom/jsdom"
"mathjs@14.3.1","Apache-2.0","https://github.com/josdejong/mathjs"
"prettier-eslint@16.3.0","MIT","https://github.com/prettier/prettier-eslint"
"prettier@3.5.3","MIT","https://github.com/prettier/prettier"
"prop-types@15.8.1","MIT","https://github.com/facebook/prop-types"
"react-dom@18.3.1","MIT","https://github.com/facebook/react"
"react@18.3.1","MIT","https://github.com/facebook/react"
"star-coordinates-d3@1.0.0","Apache-2.0",""
"vite@6.2.0","MIT","https://github.com/vitejs/vite"
"vitest@3.0.9","MIT","https://github.com/vitest-dev/vitest"
"zustand@5.0.3","MIT","https://github.com/pmndrs/zustand"